,0,1,2
313,historicapolitica/cellariushistoria_5.xml,Altenburgi , 1753.
314,historicapolitica/cellariushistoria_front.xml,Altenburgi , 1753.
315,historicapolitica/chemnitzratio_1.xml,[S.l.; Stettin?], 1640.
316,historicapolitica/chemnitzratio_10.xml,[S.l.; Stettin?], 1640.
317,historicapolitica/chemnitzratio_2.xml,[S.l.; Stettin?], 1640.
318,historicapolitica/chemnitzratio_3.xml,[S.l.; Stettin?], 1640.
319,historicapolitica/chemnitzratio_4.xml,[S.l.; Stettin?], 1640.
320,historicapolitica/chemnitzratio_5.xml,[S.l.; Stettin?], 1640.
321,historicapolitica/chemnitzratio_6.xml,[S.l.; Stettin?], 1640.
322,historicapolitica/chemnitzratio_7.xml,[S.l.; Stettin?], 1640.
323,historicapolitica/chemnitzratio_8.xml,[S.l.; Stettin?], 1640.
324,historicapolitica/chemnitzratio_9.xml,[S.l.; Stettin?], 1640.
325,historicapolitica/chemnitzratio_front.xml,[S.l.; Stettin?], 1640.
326,historicapolitica/Chronicon_Carionis_1.xml,Wittebergae, 1561.
327,historicapolitica/Chronicon_Carionis_2.xml,Wittebergae, 1561.
328,historicapolitica/Chronicon_Carionis_3.xml,Wittenberg, 1563.
329,historicapolitica/Chronicon_Carionis_4.xml,Frankfurt am Main, Sigismund Feyrabend et Simon Huterus. 1566.
330,historicapolitica/Clapmar_arcana.xml,Leiden, 1644.
331,historicapolitica/Clapmar_de_arcanis_idx.xml,Leiden, 1644.
332,historicapolitica/Cocceji_prudentia.xml,Frankfurt an der Oder, 1695.
333,historicapolitica/Colli_princeps.xml,Hanau, 1598-1599.
334,historicapolitica/Colli_princeps_index.xml,Hanau, 1598-1599.
335,historicapolitica/conringpropolitica_1.xml,Helmestadii, 1663.
336,historicapolitica/conringpropolitica_2.xml,Helmestadii, 1663.
337,historicapolitica/conringpropolitica_3.xml,Helmestadii, 1663.
338,historicapolitica/conringpropolitica_4.xml,Helmestadii, 1663.
339,historicapolitica/conringpropolitica_5.xml,Helmestadii, 1663.
340,historicapolitica/conringpropolitica_front.xml,Helmestadii, 1663.
341,historicapolitica/Contzen_politicorum_1.xml,Köln, 1629.
342,historicapolitica/Contzen_politicorum_10.xml,Köln, 1629.
343,historicapolitica/Contzen_politicorum_2.xml,Köln, 1629.
344,historicapolitica/Contzen_politicorum_3.xml,Köln, 1629.
345,historicapolitica/Contzen_politicorum_4.xml,Köln, 1629.
346,historicapolitica/Contzen_politicorum_5.xml,Köln, 1629.
347,historicapolitica/Contzen_politicorum_6.xml,Köln, 1629.
348,historicapolitica/Contzen_politicorum_7.xml,Köln, 1629.
349,historicapolitica/Contzen_politicorum_8.xml,Köln, 1629.
350,historicapolitica/Contzen_politicorum_9.xml,Köln, 1629.
351,historicapolitica/Contzen_politicorum_front.xml,Köln, 1629.
352,historicapolitica/Cramer_vindiciae.xml,Berlin, 1694.
353,historicapolitica/Curione_historiae.xml,Basel, 1568.
354,historicapolitica/Curione_historiae_index.xml,Basel, 1568.
355,historicapolitica/Estienne_orationes.xml,Frankfurt am Main, 1594.
